node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Gabala Resort Outdoor Pool,73.375,72.64,74.11,2013-03-18 08:00:00,2013-05-30 17:00:00,,47413
1,1.1,Preparation work,4.375,3.5,5.25,2013-03-18 08:00:00,2013-03-22 17:00:00,Standard operator[3.00 #3],1800
2,1.2,Earthworks and digging,8.375,6.7,10.05,2013-03-25 08:00:00,2013-04-02 17:00:00,Bricklayers[3.00 #3],7012
3,1.3,Mount shuttering,5.375,4.3,6.45,2013-04-03 08:00:00,2013-04-08 17:00:00,Standard operator[2.00 #3],1695
4,1.4,Formwork and steel placement,3.375,2.7,4.05,2013-04-09 08:00:00,2013-04-12 17:00:00,Standard operator[3.00 #3],2074
5,1.5,Concrete shell pour,7.375,5.9,8.85,2013-04-15 08:00:00,2013-04-22 17:00:00,Concrete finisher[3.00 #3],7094
6,1.6,Mount water inlets/outlets,1.375,1.1,1.65,2013-04-23 08:00:00,2013-04-24 17:00:00,Standard operator[2.00 #3],780
7,1.7,Lay tiles,6.375,5.1,7.65,2013-04-25 08:00:00,2013-05-01 17:00:00,Tilers[2.00 #2],2200
8,1.8,Lay pipes,6.375,5.1,7.65,2013-05-02 08:00:00,2013-05-08 17:00:00,Plumber[3.00 #3],3810
9,1.9,Connect pipes,2.375,1.9,2.85,2013-04-03 08:00:00,2013-04-05 17:00:00,Plumber[2.00 #3],1594
10,1.1,Mount filter unit,0.375,0.3,0.45,2013-05-09 08:00:00,2013-05-09 17:00:00,Standard operator[2.00 #3],1440
11,1.11,Connect filtering system,0.375,0.3,0.45,2013-04-25 08:00:00,2013-04-25 17:00:00,Standard operator,370
12,1.12,Mount pumps,0.375,0.3,0.45,2013-05-10 08:00:00,2013-05-10 17:00:00,Heating and cooling specialist[2.00 #2],1232
13,1.13,Connect pumps,0.375,0.3,0.45,2013-04-26 08:00:00,2013-04-26 17:00:00,,150
14,1.14,Internal finishing works of construction,1.375,1.1,1.65,2013-05-13 08:00:00,2013-05-14 17:00:00,Standard operator[2.00 #3];Heating and cooling specialist;Electrician,1952
15,1.15,Final cleaning,5.375,4.3,6.45,2013-05-15 08:00:00,2013-05-20 17:00:00,Standard operator[2.00 #3],1560
16,1.16,Surrounding design works,6.375,5.1,7.65,2013-05-21 08:00:00,2013-05-27 17:00:00,Designer;Standard operator[2.00 #3];Electrician,10800
17,1.17,Fill with water,0.375,0.3,0.45,2013-05-28 08:00:00,2013-05-28 17:00:00,Standard operator,370
18,1.18,Chemical treatment,1.375,1.1,1.65,2013-05-29 08:00:00,2013-05-30 17:00:00,Chemical cleaning specialist,1480
